gene,var_index,n_cells_global,mean_counts_global,total_counts_global,global_log_mean,global_logit_detection,z_global_mean,z_global_detection,global_preselection_distance,target,preselection_rank
IGLV1-40,26751,174153,5.851978183830352,37797219.0,1.92453739654413,-3.156552990090671,60.63310758793937,0.3339755898437739,1.8710989228827655,IFITM1,16
GABARAP,21633,1884664,5.793530115674872,37419710.0,1.915970705685571,-0.23346221510943133,60.36016200666705,1.2930495958547743,1.8940602359004761,IFITM1,17
IGHV3-7,19109,135521,5.851985460634888,37797266.0,1.9245384585441068,-3.4167591560396167,60.6331414245988,0.2486012415336294,1.9151436054771431,IFITM1,18
TAGLN2,1875,3218909,6.642931691397222,42905892.0,2.0337812588136672,1.1240496736791916,64.11375489737287,1.7384529259639532,1.9181285055144737,IFITM1,19
IGHV4-39,19157,181107,6.618891451597096,42750619.0,2.030630880322457,-3.1156979384326684,64.01337986310254,0.3473802430262185,1.9859065158223335,IFITM1,20
PPIA,10284,4177135,6.559968997716167,42370046.0,2.0228670893518386,3.8623821472110027,63.76601568545919,2.6369072325008482,2.0391860431327884,IFITM1,21
H3-3A,2504,4032560,5.8127247777826465,37543686.0,1.9187921543489173,2.853828035864184,60.45005692153697,2.3059978949848197,2.0810216153681105,IFITM1,22
GSTP1,15435,2989134,5.736798444435946,37053287.0,1.9075848038281362,0.8514139749957292,60.09297659111265,1.649000414274632,2.19431306169088,IFITM1,23
IL32,20352,2474540,5.713662850782621,36903857.0,1.9041446814469138,0.32362152827161683,59.98336995087157,1.4758302819768105,2.2801316141591705,IFITM1,24
IGLV2-8,26789,158644,6.712966135454775,43358236.0,2.0429028263620053,-3.2536082776320545,64.40437955019414,0.30213148694297987,2.357520736572764,IFITM1,25
BTG2,2284,2617366,6.815944531551064,44023361.0,2.056165817933194,0.462871129697437,64.82695519854862,1.5215184536264759,2.5852927195945603,IFITM1,26
PIGR,2350,1837709,5.618030930754393,36286182.0,1.8897978832198967,-0.27822681631117013,59.52626285478003,1.2783622088705942,2.7278189829979107,IFITM1,27
CHCHD2,10340,3558242,5.63137256480575,36372354.0,1.8918118061206783,1.6164334624753496,59.59042897981795,1.9000053816240534,2.7374503663246488,IFITM1,28
EID1,19540,2006755,5.585211922997783,36074208.0,1.8848265173649832,-0.11803750474515329,59.36786886515321,1.3309207561722085,2.886868382238565,IFITM1,29
ID2,2817,2073207,5.529617755650787,35715132.0,1.8763484049212185,-0.055590839433542275,59.09774550395553,1.3514096763162704,3.1574051328984787,IFITM1,30
S100A4,1669,2496847,5.528368932132031,35707066.0,1.876157131403727,0.345133310121941,59.09165128831548,1.4828883559073944,3.1696653911859394,IFITM1,31
IGHG1,19071,579908,7.011940616939874,45289276.0,2.0809330060112363,-1.8491613065958847,65.61606906504096,0.7629343447503361,3.399818637662459,IFITM1,32
SRP14,19381,3589180,7.018799237452815,45333575.0,2.0817886896532545,1.669856737205906,65.64333222568396,1.917533702861491,3.450834730388455,IFITM1,33
IGKV2D-28,3526,18887,5.553571757575889,35869848.0,1.8800102075217353,-5.415242324034881,59.214415155727075,-0.40710650257057973,3.470941833834657,IFITM1,34
IGHJ4,19082,42652,5.511525297191664,35598275.0,1.8735737294202495,-4.595044064524938,59.009340841063164,-0.13799723056157087,3.5364852183270576,IFITM1,35
NACA2,22685,94438,0.0997930136173785,644551.0,0.095121992659488,-3.7878403445638713,2.345624235724824,0.12684849780107654,0.02042681047288266,CHI3L1,1
AMT,5095,100892,0.0994777886379354,642515.0,0.09483532947887514,-3.720184841881933,2.336490785043156,0.14904645160436572,0.03244616483673261,CHI3L1,2
IL11RA,12509,111418,0.1009918284581581,652294.0,0.09621143578580509,-3.618416018096537,2.3803352685244565,0.18243707852237992,0.05133300792076151,CHI3L1,3
ZNF674-AS1,27555,88951,0.1022075192924344,660146.0,0.09731500451997009,-3.849012703705722,2.415496361015576,0.10677768096518997,0.057158287513701646,CHI3L1,4
CDK5R1,22037,79136,0.1012022364871675,653653.0,0.09640252523881829,-3.9682773611294424,2.386423619637954,0.06764662360976746,0.06923162231352666,CHI3L1,5
TRGV9,10220,74346,0.1003993107782325,648467.0,0.09567312373060217,-4.03185866621241,2.363183967136423,0.04678542508139779,0.0866964254261586,CHI3L1,6
ALDOB,12883,116884,0.0983367237565528,635145.0,0.09379696616161416,-3.56920627070302,2.3034072194189235,0.19858293002019828,0.08959926267694047,CHI3L1,7
S100B,26581,95821,0.0967002168642577,624575.0,0.09230586852655942,-3.772970417283545,2.255898967113172,0.13172736124517412,0.10906502412007464,CHI3L1,8
ZNF671,25390,70848,0.1019051448401495,658193.0,0.09704063156335825,-4.080885849372199,2.406754492379917,0.030699473403487592,0.1109419686086658,CHI3L1,9
ZNF575,24768,133083,0.0995045734716504,642688.0,0.09485969059625184,-3.435502929694756,2.337266960984673,0.24245135859428987,0.11244836664926305,CHI3L1,10
KRT7,16671,131568,0.0988879029936928,638705.0,0.09429867112340184,-3.447318648880424,2.319392172615353,0.2385745891041694,0.1145591402054001,CHI3L1,11
SAMD10,26191,134853,0.0995539628471132,643007.0,0.09490460925089919,-3.421862204772478,2.3386981260056965,0.24692691741308403,0.11646044603668214,CHI3L1,12
PDF,21121,117860,0.1039246903371312,671237.0,0.09887173025379824,-3.560655497486748,2.465095607365966,0.2013884618884565,0.12100769053617981,CHI3L1,13
MOCS3,26034,139757,0.1016637716854581,656634.0,0.09682155681253327,-3.3849543382181015,2.399774494362798,0.259036488464586,0.13031200772168147,CHI3L1,14
IL18RAP,3663,139468,0.0988403715257709,638398.0,0.09425541603269715,-3.387094401987003,2.3180140108408347,0.25833432774158466,0.13340028833707504,CHI3L1,15
MUC5AC,14472,81229,0.1049075234262787,677585.0,0.09976164226059145,-3.941672939282058,2.4934493269043227,0.07637560652646848,0.14060975321618693,CHI3L1,16
THBS2,9866,107643,0.0957659990224309,618541.0,0.09145366118890684,-3.6537930156484615,2.228746565914088,0.17082978973984686,0.1412360918625359,CHI3L1,17
KLRF1,16259,147482,0.0999961448418525,645863.0,0.09530667510895842,-3.3292791868418203,2.351508451620293,0.27730365653296785,0.14446649216020485,CHI3L1,18
WDR5B,5548,100821,0.0954752364922767,616663.0,0.09118827504415183,-3.720905859527458,2.2202910284448674,0.14880988376062426,0.14547084485263603,CHI3L1,19
LINC00954,2890,90304,0.0954938155676859,616783.0,0.09120523473182261,-3.833592639594498,2.220831385495907,0.11183704579459477,0.14573243294533741,CHI3L1,20
HTD2,5250,73071,0.1048750100443126,677375.0,0.09973221548987897,-4.049461056807184,2.492511752855055,0.041010033017766734,0.15754259132382023,CHI3L1,21
REP15,16443,150420,0.0986878682817869,637413.0,0.09411662077949742,-3.3088402025318313,2.3135918189247358,0.28400974268285933,0.15906521703361173,CHI3L1,22
TUBB3,21418,126246,0.1051391425663803,679081.0,0.0999712479169006,-3.489896676080184,2.5001276276208833,0.2246046229765245,0.16303246632194013,CHI3L1,23
H4C11,8729,81523,0.0949333467928413,613163.0,0.0906934909069588,-3.9379898235366273,2.204526581453583,0.07758404678525416,0.16987724950865132,CHI3L1,24
NCDN,649,160087,0.1003372257012401,648066.0,0.09561670164101557,-3.244202112554181,2.3613862881617664,0.305217675199482,0.1717907883829553,CHI3L1,25
MRC1,13514,155240,0.0978213092395754,631816.0,0.09332758780295654,-3.276127229876278,2.288452232591956,0.294742957676325,0.17850176999193518,CHI3L1,26
COL15A1,12862,155195,0.1038653921214501,670854.0,0.09881801299492794,-3.27642809438016,2.4633841077112235,0.2946442432171388,0.18886068252094732,CHI3L1,27
AGAP2,16892,166532,0.1021003799575746,659454.0,0.09721779547310269,-3.203160837063072,2.4123991581118855,0.3186834289263096,0.19120067022129697,CHI3L1,28
SFRP4,10206,59320,0.096919295128458,625990.0,0.09250560987981686,-4.2612195623009645,2.2622629786864974,-0.028468506584591716,0.19174657545542248,CHI3L1,29
ZNF687,1579,171033,0.1002338021814621,647398.0,0.09552270465701125,-3.175393041254542,2.3583914256342746,0.327794117992869,0.1944409089025027,CHI3L1,30
AURKB,21707,160332,0.0973045012919424,628478.0,0.09285671915870637,-3.242613182003127,2.273449763385382,0.3057390076199171,0.1950667858728093,CHI3L1,31
LINC01610,9294,169482,0.0990297232693165,639621.0,0.09442772079671619,-3.184881593273236,2.3235038580581153,0.32468089835778224,0.19565723350632278,CHI3L1,32
SIK1,26489,119065,0.0940743742064218,607615.0,0.08990868542430334,-3.5501928485044427,2.1795216884107718,0.20482128537749467,0.19868468209738643,CHI3L1,33
ZNF48,20752,144544,0.0952592547406446,615268.0,0.09099109756491261,-3.3501145873070115,2.2140087051331783,0.27046750516810897,0.2038463246768465,CHI3L1,34
UBASH3A,26471,168558,0.103206609072565,666599.0,0.09822103829895663,-3.1905739903007566,2.444363740560475,0.32281320746439074,0.20532825409242147,CHI3L1,35
