"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","contrast"
-0.566692359943962,7.67611797790385,-1.35235097525687,0.184134812384884,0.999984452942187,-5.11116363030412,"Atrx","tumor_vs_healthy_12h"
-0.52506137209709,7.73816898103488,-1.35069621366141,0.184659954207428,0.999984452942187,-5.11320735478676,"Chd3","tumor_vs_healthy_12h"
1.16823129065491,2.19323461720595,1.35024740281855,0.18480258358629,0.999984452942187,-5.1137612718435,"Tfeb","tumor_vs_healthy_12h"
-1.18734254131602,1.29059695116911,-1.35006944479538,0.184859161021495,0.999984452942187,-5.11398085947976,"Lmln","tumor_vs_healthy_12h"
1.08249235949397,2.09788989348439,1.34916415336352,0.185147182696922,0.999984452942187,-5.11509752017964,"Socs1","tumor_vs_healthy_12h"
-1.06880691864623,1.96035781645481,-1.34895308369994,0.185214384824814,0.999984452942187,-5.11535777348919,"Ufsp1","tumor_vs_healthy_12h"
-0.91653598669648,0.425573582008593,-1.34881337694296,0.185258876144214,0.999984452942187,-5.11553001459918,"Gm7690","tumor_vs_healthy_12h"
-0.647525032113071,6.04157234543803,-1.34839059795391,0.185393565312533,0.999984452942187,-5.11605115043645,"Rnf10","tumor_vs_healthy_12h"
1.11100351498047,0.442445516469091,1.3481642341707,0.185465711343448,0.999984452942187,-5.1163301156113,"Spag4","tumor_vs_healthy_12h"
-0.477667977892647,7.55161223008779,-1.34756436991103,0.185657002750506,0.999984452942187,-5.11706916883901,"Mfsd1","tumor_vs_healthy_12h"
-1.19067016722868,2.65925816836613,-1.34706040072386,0.185817831225468,0.999984452942187,-5.1176898462018,"Fign","tumor_vs_healthy_12h"
0.901116112118158,0.879817255151367,1.34685254077049,0.185884195417581,0.999984452942187,-5.11794578080312,"Myo7a","tumor_vs_healthy_12h"
-0.990277261747775,3.54683082095745,-1.34677158590572,0.185910047093676,0.999984452942187,-5.11804544955715,"Wdr37","tumor_vs_healthy_12h"
-1.19881829988885,1.19877038006404,-1.34649280582782,0.185999092305585,0.999984452942187,-5.11838863223977,"Fosb","tumor_vs_healthy_12h"
-1.28096607130395,2.46323501414865,-1.34608385939886,0.186129773257717,0.999984452942187,-5.11889193551752,"Adamtsl3","tumor_vs_healthy_12h"
-0.644009062164233,5.67345968407741,-1.34582379771494,0.186212913993536,0.999984452942187,-5.11921192972622,"Rad50","tumor_vs_healthy_12h"
1.87125471839477,2.98030965124435,1.34505806655435,0.186457880978772,0.999984452942187,-5.12015380278483,"Hbb-bt","tumor_vs_healthy_12h"
-1.11520124680755,2.6029560901778,-1.34481367774628,0.186536116087404,0.999984452942187,-5.1204543065347,"Mex3b","tumor_vs_healthy_12h"
-0.72942135786938,5.12465511265254,-1.34442597196491,0.186660282331015,0.999984452942187,-5.12093093342718,"Dnm1l","tumor_vs_healthy_12h"
-0.800714946301895,0.188790184615123,-1.34371571614777,0.186887912690145,0.999984452942187,-5.12180376539845,"D430041D05Rik","tumor_vs_healthy_12h"
1.06461822534438,2.32292520080509,1.34350622042973,0.186955094788988,0.999984452942187,-5.12206113458923,"Gorasp1","tumor_vs_healthy_12h"
-0.846380143778953,4.92576659555924,-1.34331952003609,0.187014982392316,0.999984452942187,-5.12229046872886,"Metrn","tumor_vs_healthy_12h"
-0.318963049773384,10.4811214186122,-1.34313821143211,0.187073154570178,0.999984452942187,-5.12251315224666,"S100a6","tumor_vs_healthy_12h"
-1.37974072072615,2.93220157564438,-1.34308400835069,0.187090548119333,0.999984452942187,-5.12257971927817,"Ppargc1a","tumor_vs_healthy_12h"
-1.06046438727372,0.434880577721435,-1.34229162898851,0.187344961153208,0.999984452942187,-5.12355256621846,"Agbl3","tumor_vs_healthy_12h"
-1.03546968527654,0.376641929494003,-1.34218777784598,0.187378324802277,0.999984452942187,-5.12368003137317,"Rps19-ps5","tumor_vs_healthy_12h"
